end_date,beta,se,p,ci_low,ci_high
2021-10-07,-0.43386549928101353,0.0880647989782337,8.364626178198741e-07,-0.6064725052783516,-0.26125849328367545
2021-10-14,-0.4528116749367686,0.10060860499971422,6.77220404541616e-06,-0.6500045407362085,-0.2556188091373287
2021-10-21,-0.4707059277363335,0.11472554919486706,4.0802712343394835e-05,-0.695568004158273,-0.24584385131439407
2021-10-28,-0.5227238261533703,0.12491201621585536,2.8549755256972777e-05,-0.7675513779364468,-0.27789627437029385
2021-11-04,-0.5794080866991851,0.13857394257399464,2.89949642391787e-05,-0.8510130141442145,-0.30780315925415563
2021-11-11,-0.6826378738230686,0.1300584455524724,1.531755765191929e-07,-0.9375524271059146,-0.4277233205402227
2021-11-18,-0.7750913689282838,0.1295830067299479,2.211904120832164e-09,-1.0290740621189816,-0.5211086757375859
2021-11-25,-0.8678842699820282,0.11902542484454877,3.063244131036363e-13,-1.1011741026773438,-0.6345944372867126
2021-12-02,-0.9224399408428435,0.11747519321155497,4.087677818026829e-15,-1.1526913195374913,-0.6921885621481958
2021-12-09,-0.8437041313046122,0.11304229145170125,8.418039943468774e-14,-1.0652670225499465,-0.6221412400592777
2021-12-16,-0.8390276501977605,0.13817844521581518,1.2628063985272045e-09,-1.1098574028207582,-0.5681978975747628
2021-12-23,-0.9033868754309884,0.16819930552168502,7.833115013831724e-08,-1.233057514253491,-0.5737162366084858
2021-12-30,-1.022174599413499,0.16888518870452995,1.4263075838068959e-09,-1.3531895692743776,-0.6911596295526203
2022-01-06,-1.0955518702363782,0.16923836043096124,9.580584114370694e-11,-1.4272590566810623,-0.7638446837916941
2022-01-13,-1.0931793399695493,0.1782179523006337,8.572549336245421e-10,-1.4424865264787914,-0.7438721534603072
2022-01-20,-1.0124223596845556,0.17407743295280673,6.029729313200701e-09,-1.3536141282720568,-0.6712305910970544
2022-01-27,-0.9214273128551658,0.17193919614449182,8.366995518739119e-08,-1.2584281372983697,-0.5844264884119619
2022-02-03,-0.8518084564270675,0.16885921759437134,4.547351218941754e-07,-1.1827725229120354,-0.5208443899420997
2022-02-10,-0.7938202726095216,0.1630372023142557,1.1219179096143283e-06,-1.1133731891454628,-0.47426735607358045
2022-02-17,-0.7198969690630642,0.1658760969424824,1.4250340220891863e-05,-1.0450141190703297,-0.39477981905579873
2022-02-24,-0.6449549414796814,0.1620970365546729,6.925813005739478e-05,-0.9626651331268402,-0.3272447498325225
2022-03-03,-0.6417608740904833,0.15202000891502018,2.426224153857513e-05,-0.9397200915639229,-0.34380165661704376
2022-03-10,-0.6661710673035219,0.1478533556867838,6.6179361585219526e-06,-0.9559636444496182,-0.3763784901574257
2022-03-17,-0.6990270112225972,0.14044370800134687,6.448554439896932e-07,-0.9742966789052371,-0.4237573435399574
2022-03-24,-0.7026876402516694,0.14011618627173414,5.302369051677629e-07,-0.9773153653442683,-0.4280599151590705
2022-03-31,-0.6917828485075022,0.13891854734841022,6.365885550572237e-07,-0.9640632013103863,-0.4195024957046181
2022-04-07,-0.6713877089255245,0.13858246063575702,1.26815748337841e-06,-0.9430093317716082,-0.3997660860794407
2022-04-14,-0.6458402631981173,0.14472025120076554,8.09406431098801e-06,-0.9294919555516177,-0.3621885708446168
2022-04-21,-0.5518728790418007,0.1575343745146214,0.0004597210502853948,-0.8606402530904587,-0.24310550499314276
2022-04-28,-0.444030931411835,0.17194802336999349,0.009812843321667703,-0.7810490572170222,-0.10701280560664772
2022-05-05,-0.32861286214575103,0.18550685799185296,0.0764888216082694,-0.6922063038097828,0.03498057951828076
2022-05-12,-0.16584802889271819,0.2022577375077951,0.41222545314841175,-0.5622731944079966,0.2305771366225602
2022-05-19,-0.1295115548695091,0.18120683497236328,0.47478410359213397,-0.4846769514153411,0.2256538416763229
2022-05-26,0.014518859749669585,0.19423508375124374,0.9404144962192414,-0.3661819044027681,0.3952196239021073
2022-06-02,0.10831549463678908,0.19015604472576356,0.568939711463222,-0.26439035302570746,0.4810213422992856
2022-06-09,0.19400736445378317,0.1904518287363268,0.3083601581270271,-0.17927821986941736,0.5672929487769837
2022-06-16,0.2610186810256968,0.19076889996595503,0.17123525671188944,-0.11288836290757503,0.6349257249589686
2022-06-23,0.21918619901318404,0.16252232725654656,0.17744849836099352,-0.09935756240964722,0.5377299604360153
2022-06-30,0.11055806020930617,0.1519985495294958,0.4670038589912666,-0.18735909686850558,0.4084752172871179
2022-07-07,0.01953423607677489,0.13790537514897838,0.8873568162696616,-0.25076029921522275,0.28982877136877255
2022-07-14,-0.043365498919627425,0.11803788923059122,0.7133309174411719,-0.2747197618115862,0.18798876397233136
2022-07-21,-0.11565604205263288,0.1079740404368682,0.2841034522686816,-0.32728516130889457,0.0959730772036288
2022-07-28,-0.10239505707305342,0.10058993871536218,0.3087039437844036,-0.2995513369551633,0.09476122280905645
2022-08-04,-0.07995831806918749,0.09422081283963489,0.3960889234099938,-0.2646311112348719,0.1047144750964969
2022-08-11,-0.05932085950612542,0.09050067185200594,0.5121624635706692,-0.23670217633605706,0.11806045732380621
2022-08-18,-0.040169097079725574,0.08354406723976844,0.6306492102391519,-0.2039154688696717,0.12357727471022056
2022-08-25,-0.026636270669027476,0.08090660586398413,0.741987558400646,-0.18521321816243635,0.13194067682438143
2022-09-01,-0.013154237531306463,0.077944152200057,0.8659815631527273,-0.16592477584341817,0.13961630078080525
2022-09-08,-0.0218511015234601,0.07463541113775267,0.7696970161550569,-0.1681365073534553,0.12443430430653513
2022-09-15,-0.03388152559465906,0.07114534212948806,0.6339107360503309,-0.17332639616845566,0.10556334497913752
2022-09-22,-0.06333788282891135,0.06425480069867588,0.3242656381016802,-0.18927729219831607,0.06260152654049338
