day,market_price,peg_deviation_bps,supply,action,action_magnitude,in_band
428,1.5739044491151866,5739.044491151865,559473560.8536729,burn,-31617960.377653416,False
429,1.5962191145610383,5962.191145610383,528165193.50026435,burn,-31309366.353408527,False
430,1.573822882118326,5738.22882118326,498727200.08956206,burn,-29438992.41070227,False
431,1.6032994129460634,6032.994129460633,470783020.8147413,burn,-27945178.27482077,False
432,1.519220120330346,5192.201203303459,444800468.6068351,burn,-25983551.207906205,False
433,1.4397715417985402,4397.7154179854015,420605338.29777396,burn,-24196129.309061166,False
434,1.3115917997462576,3115.9179974625763,398265498.63945436,burn,-22340838.658319566,False
435,1.2593280513483622,2593.280513483622,377320408.5506671,burn,-20946089.088787254,False
436,1.0656578272364157,656.5782723641566,358207646.7411598,burn,-19113760.80950729,False
437,1.0987896599009324,987.8965990093236,339944391.2881471,burn,-18264254.453012716,False
438,1.0125223256041087,125.22325604108708,322905601.78018975,burn,-17039788.50795736,True
439,1.0087540501673553,87.5405016735531,306733053.3728072,burn,-16173547.407382527,True
440,1.040059324778861,400.5932477886098,291274524.5141121,burn,-15459527.85869509,True
441,1.0598307407888428,598.3074078884276,276537525.58266056,burn,-14737997.93145158,False
442,1.0921866179258057,921.8661792580574,262456717.71139717,burn,-14081806.871263394,False
443,1.137726548805314,1377.2654880531409,248973408.2464157,burn,-13484308.464981472,False
444,1.16384761714635,1638.476171463501,236117799.8373551,burn,-12856607.409060594,False
445,1.1888481241773559,1888.4812417735586,223867004.80964565,burn,-12251794.027709445,False
446,1.2011935800422857,2011.935800422857,212224247.5276534,burn,-11643756.281992245,False
447,1.1362656712422292,1362.6567124222922,201324845.3558384,burn,-10900401.171814997,False
448,1.1960987429328782,1960.9874293287821,190864806.5970921,burn,-10461037.758746281,False
449,1.1937331494426553,1937.331494426553,180952796.8662393,burn,-9913008.730852785,False
450,1.2344096481337548,2344.0964813375476,171481985.208505,burn,-9471810.657734307,False
451,1.2923209772729765,2923.2097727297646,162407607.13307115,burn,-9075377.075433854,False
452,1.2589762058986542,2589.7620589865423,153867628.71737358,burn,-8540977.415697578,False
